,Positive distance,Negative distance
1846,7.9094977,23.980427
1847,3.949819,19.88412
1848,5.7945433,14.303404
1849,6.0309935,20.099695
1850,4.198764,16.157099
1851,4.4516745,19.267551
1852,4.2297697,12.029847
1853,2.7010202,10.249438
1854,5.5916185,30.28799
1855,4.138279,13.938936
1856,6.080744,17.318888
1857,3.7811248,21.192667
1858,5.714045,16.325634
1859,7.627318,25.927433
1860,4.093257,13.493969
1861,6.1567335,24.993877
1862,4.8162284,20.661049
1863,3.8718176,30.468645
1864,7.1899424,23.23876
1865,2.1952977,10.850409
1866,9.16469,20.47993
1867,3.5930834,17.066238
1868,6.99866,20.25145
1869,4.075257,16.467636
1870,5.7497196,12.966877
1871,1.9936323,12.57023
1872,0.78213537,30.141897
1873,12.179354,22.555296
1874,10.372506,26.228855
1875,6.082696,19.978912
1876,3.208962,18.97015
1877,6.5100384,11.334307
1878,6.761074,17.153343
1879,3.1272163,22.478241
1880,4.8725195,21.47512
1881,5.8749075,24.016754
1882,3.4502993,14.068667
1883,4.014125,23.46885
1884,6.9740877,11.705342
1885,7.2704315,24.92423
1886,4.5860214,19.824795
1887,3.2242527,17.041588
1888,7.811114,22.466099
1889,6.0426245,28.581705
1890,8.679432,21.463661
1891,2.7905874,15.369162
1892,8.839053,17.264301
1893,3.5955415,14.150526
1894,4.0692687,20.90902
1895,6.2397885,26.181637
1896,4.096707,14.859039
1897,2.9540315,23.11581
1898,4.6264486,20.04227
1899,3.9746096,13.750305
1900,4.4560013,26.805378
1901,2.06256,16.122913
1902,2.0733285,22.261675
1903,4.892915,19.883041
1904,4.0743675,9.924522
1905,8.116704,34.869354
1906,6.8911085,22.477581
1907,3.6447678,27.234272
1908,3.6234872,17.87992
1909,4.968568,19.727547
1910,3.7531548,9.194319
1911,4.5775304,28.49937
1912,3.779111,18.32452
1913,7.40792,16.564697
1914,4.702961,15.292702
1915,8.542781,36.076748
1916,2.8317413,17.495693
1917,3.9849148,15.462375
1918,4.853527,12.79271
1919,8.472446,15.601582
1920,9.530168,22.192307
1921,4.3821015,11.002296
1922,3.5140166,22.637102
1923,5.6623096,13.503009
1924,7.391,25.63409
1925,1.9491485,25.826439
1926,3.1936672,18.699142
1927,4.1135826,19.48558
1928,5.087761,24.577188
1929,6.5937395,16.844767
1930,7.8485413,28.405102
1931,5.5844374,14.323831
1932,6.6759396,25.146255
1933,3.8369455,23.824902
1934,5.2828374,21.975857
1935,2.430544,18.402954
1936,2.1752703,11.246406
1937,6.020817,26.9025
1938,3.3885634,11.7931795
1939,4.9977865,15.959322
1940,6.070696,16.613813
1941,2.7314663,20.569582
1942,2.7414417,16.758947
1943,5.717062,18.799686
1944,8.020207,22.956543
1945,3.5152705,14.965091
1946,7.2847586,19.782541
1947,2.3157036,25.478935
1948,3.421793,14.794052
1949,7.2434587,31.984396
1950,6.8408594,13.452372
1951,4.068445,18.369663
1952,5.4255824,16.000584
